"193";"Créteil - L'Échat Hôpital Henri Mondor"
"194";"Créteil - Université"
"195";"Créteil - Préfecture Hôtel de Ville"
"196";"Pont de Sèvres"
"197";"Billancourt"
"198";"Marcel Sembat"
"199";"Porte de Saint-Cloud Parc des Princes"
"200";"Exelmans"
"201";"Michel-Ange - Molitor"
"202";"Michel-Ange - Auteuil"
"203";"Jasmin"
"204";"Ranelagh"
"205";"La Muette"
"206";"Rue de la Pompe"
"207";"Iéna"
"208";"Alma - Marceau"
"209";"Saint-Philippe du Roule"
"210";"Miromesnil"
"211";"Saint-Augustin"
"212";"Saint-Ambroise"
"213";"Voltaire – Léon Blum"
"214";"Charonne"
"215";"Rue des Boulets"
"216";"Buzenval"
"217";"Maraîchers"
"218";"Porte de Montreuil"
"219";"Robespierre"
"220";"Croix de Chavaux – Place Jacques Duclos"
"221";"Mairie de Montreuil"
"222";"Boulogne - Pont de Saint-Cloud Rhin et Danube"
"223";"Boulogne - Jean Jaurès"
"224";"Porte d'Auteuil"
"225";"Chardon-Lagache"
"226";"Église d'Auteuil"
"227";"Mirabeau"
"228";"Javel - André Citroën"
"229";"Charles Michels"
"230";"Avenue Émile Zola"
"231";"Ségur"
"232";"Duroc"
"233";"Vaneau"
"234";"Sèvres - Babylone"
"235";"Mabillon"
"236";"Cluny - La Sorbonne"
"237";"Maubert - Mutualité"
"238";"Cardinal Lemoine"
"239";"Rambuteau – Centre Georges Pompidou"
"240";"Goncourt – Hôpital Saint-Louis"
"241";"Pyrénées"
"242";"Jourdain"
"243";"Place des Fêtes"
"244";"Télégraphe"
"245";"Porte des Lilas"
"246";"Mairie des Lilas"
"247";"Porte de la Chapelle"
"248";"Marx Dormoy"
"249";"Jules Joffrin"
"250";"Lamarck - Caulaincourt"
"251";"Abbesses – Butte Montmartre"
"252";"Saint-Georges"
"253";"Notre-Dame-de-Lorette"
"254";"Trinité - d'Estienne d'Orves"
"255";"Assemblée nationale"
"256";"Solférino – Musée d'Orsay"
"257";"Rue du Bac"
"258";"Rennes"
"259";"Notre-Dame-des-Champs"
"260";"Falguière"
"261";"Volontaires"
"262";"Vaugirard – Adolphe Chérioux"
"263";"Convention"
"264";"Porte de Versailles Parc des Expositions de Paris"
"265";"Corentin Celton"
"266";"Mairie d'Issy"
"267";"Asnières - Gennevilliers Les Courtilles"
"268";"Les Agnettes"
"269";"Gabriel Péri"
"270";"Mairie de Clichy"
"271";"Porte de Clichy"
"272";"Brochant"
"273";"Saint-Denis - Université"
"274";"Basilique de Saint-Denis – Hôtel de Ville"
"275";"Saint-Denis - Porte de Paris Stade de France"
"276";"Carrefour Pleyel"
"277";"Mairie de Saint-Ouen"
"278";"Garibaldi"
"279";"Porte de Saint-Ouen"
"280";"Guy Môquet"
"281";"La Fourche"
"282";"Liège"
"283";"Varenne"
"284";"Saint-François-Xavier"
"285";"Gaîté"
"286";"Pernety"
"287";"Plaisance"
"288";"Porte de Vanves"
"289";"Malakoff - Plateau de Vanves"
"290";"Malakoff - Rue Etienne Dolet"
"291";"Châtillon - Montrouge"
"292";"Cour Saint-Émilion"
"293";"Bibliothèque François Mitterrand"
"294";"Olympiades"
"295";"Pelleport"
"296";"Saint-Fargeau"
"297";"Bolivar"
"298";"Buttes Chaumont"
"299";"Botzaris"
"300";"Danube"
"301";"Pré Saint-Gervais"
